league Division 1
team South Long Hill
stadium SLH Arena
teamAvg 86
formation 451
gp 30
gs 43
ga 38
gd 5
pts 47
player name Reuben Schacter
ovr 85
pos GK
32 DRI
32 FIN
31 PAS
83 TAC
83 HEA
90 MAR
PAC 51
PHY 65
ATT 34
DEF 88
ssnGoals 0
cGoals 0
end player
player name Isaiah Sheehan
ovr 88
pos RB
25 DRI
23 FIN
28 PAS
75 TAC
91 HEA
88 MAR
PAC 72
PHY 94
ATT 27
DEF 87
ssnGoals 0
cGoals 0
end player
player name Titan Cicciarelli
ovr 90
pos CB
28 DRI
28 FIN
26 PAS
90 TAC
93 HEA
78 MAR
PAC 55
PHY 94
ATT 31
DEF 89
ssnGoals 0
cGoals 0
end player
player name Lincoln Baer
ovr 82
pos CB
21 DRI
22 FIN
20 PAS
72 TAC
79 HEA
82 MAR
PAC 81
PHY 90
ATT 24
DEF 80
ssnGoals 0
cGoals 0
end player
player name Neil Sloup
ovr 86
pos LB
26 DRI
31 FIN
29 PAS
99 TAC
81 HEA
93 MAR
PAC 82
PHY 37
ATT 30
DEF 94
ssnGoals 0
cGoals 0
end player
player name Duke Caster
ovr 90
pos CM
89 DRI
83 FIN
97 PAS
65 TAC
65 HEA
70 MAR
PAC 60
PHY 79
ATT 95
DEF 65
ssnGoals 11
cGoals 24
end player
player name Kolton Pulis
ovr 85
pos CM
59 DRI
56 FIN
58 PAS
80 TAC
87 HEA
81 MAR
PAC 93
PHY 85
ATT 59
DEF 85
ssnGoals 0
cGoals 0
end player
player name Valentin Glandorf
ovr 88
pos RM
89 DRI
88 FIN
78 PAS
58 TAC
54 HEA
52 MAR
PAC 90
PHY 92
ATT 87
DEF 57
ssnGoals 0
cGoals 0
end player
player name Tate Hauserman
ovr 82
pos LM
48 DRI
45 FIN
52 PAS
85 TAC
73 HEA
78 MAR
PAC 74
PHY 88
ATT 47
DEF 81
ssnGoals 0
cGoals 0
end player
player name Luka Croes
ovr 86
pos ST
77 DRI
82 FIN
89 PAS
28 TAC
26 HEA
21 MAR
PAC 92
PHY 80
ATT 85
DEF 29
ssnGoals 0
cGoals 0
end player
player name Colin Biehn
ovr 81
pos ST
68 DRI
82 FIN
78 PAS
22 TAC
28 HEA
24 MAR
PAC 93
PHY 56
ATT 79
DEF 26
ssnGoals 0
cGoals 0
end player
player name Ernesto Matte
ovr 90
pos LM
94 DRI
73 FIN
90 PAS
54 TAC
58 HEA
63 MAR
PAC 77
PHY 58
ATT 92
DEF 58
ssnGoals 45
cGoals 81
end player
player name Jasiah Camilli
ovr 84
pos LB
30 DRI
40 FIN
33 PAS
84 TAC
65 HEA
84 MAR
PAC 55
PHY 94
ATT 31
DEF 82
ssnGoals 0
cGoals 0
end player
player name Boston Unkel
ovr 81
pos LB
26 DRI
27 FIN
29 PAS
75 TAC
86 HEA
89 MAR
PAC 71
PHY 43
ATT 31
DEF 87
ssnGoals 0
cGoals 0
end player
player name Jasper Martone
ovr 88
pos GK
23 DRI
20 FIN
21 PAS
94 TAC
90 HEA
75 MAR
PAC 94
PHY 76
ATT 20
DEF 90
ssnGoals 0
cGoals 0
end player
player name Robert Encisoson
ovr 87
pos CM
91 DRI
86 FIN
76 PAS
56 TAC
58 HEA
57 MAR
PAC 92
PHY 45
ATT 86
DEF 56
ssnGoals 0
cGoals 0
end player
player name Aryan Randerson
ovr 80
pos LB
19 DRI
21 FIN
20 PAS
81 TAC
67 HEA
80 MAR
PAC 38
PHY 94
ATT 20
DEF 77
ssnGoals 0
cGoals 0
end player
player name Branson Sondrol-Brantley
ovr 86
pos LM
52 DRI
57 FIN
53 PAS
91 TAC
90 HEA
81 MAR
PAC 80
PHY 74
ATT 54
DEF 88
ssnGoals 0
cGoals 0
end player
player name Genesis Zipfel
ovr 90
pos RB
24 DRI
25 FIN
27 PAS
97 TAC
87 HEA
95 MAR
PAC 92
PHY 58
ATT 25
DEF 95
ssnGoals 0
cGoals 0
end player
player name Cain Heyser
ovr 85
pos ST
87 DRI
74 FIN
79 PAS
27 TAC
30 HEA
29 MAR
PAC 80
PHY 57
ATT 85
DEF 27
ssnGoals 0
cGoals 0
end player
player name Beau Garrity
ovr 83
pos LM
80 DRI
81 FIN
88 PAS
60 TAC
55 HEA
55 MAR
PAC 63
PHY 51
ATT 86
DEF 55
ssnGoals 0
cGoals 0
end player
player name Jett Allore
ovr 87
pos LB
36 DRI
35 FIN
27 PAS
66 TAC
93 HEA
94 MAR
PAC 89
PHY 69
ATT 34
DEF 90
ssnGoals 22
cGoals 50
end player
player name Jack Zoerb
ovr 91
pos ST
92 DRI
78 FIN
87 PAS
30 TAC
22 HEA
26 MAR
PAC 92
PHY 79
ATT 90
DEF 27
ssnGoals 19
cGoals 46
end player
player name Kendall Browning
ovr 91
pos ST
87 DRI
99 FIN
98 PAS
31 TAC
29 HEA
29 MAR
PAC 64
PHY 43
ATT 95
DEF 29
ssnGoals 0
cGoals 0
end player
player name Jefferson McNease
ovr 86
pos LB
35 DRI
34 FIN
30 PAS
89 TAC
87 HEA
78 MAR
PAC 44
PHY 81
ATT 32
DEF 86
ssnGoals 0
cGoals 0
end player
end team South Long Hill
team Robinson FC
stadium Robinson Lane
teamAvg 80
formation 532
gp 30
gs 45
ga 36
gd 9
pts 54
player name Dominick Amore
ovr 83
pos GK
23 DRI
25 FIN
24 PAS
96 TAC
90 HEA
75 MAR
PAC 39
PHY 33
ATT 25
